month,coor,delay,adv,no
200101,108.4,99.84,103.744,1
200102,108.4,99.84,103.744,2
200103,106.27,99.83,103.275,3
200104,104.14,99.56,101.96,4
200105,102.09,98.58,101.052,5
200106,100.31,97.64,100.4,6
200107,98.99,97.62,100.193,7
200108,98.58,98.31,100.498,8
200109,99.12,98.36,101.5,9
200110,100.11,97.85,102.81,10
200111,101.2,97.1,104.156,11
200112,102.68,96.41,105.361,12
200201,104.14,96.4,106.1,13
200202,105.4,96.98,106.212,14
200203,106.16,97.51,105.666,15
200204,106.09,97.78,104.631,16
200205,105.38,97.83,103.187,17
200206,104.54,97.82,101.491,18
200207,103.53,97.68,99.774,19
200208,102.42,98.12,98.233,20
200209,101.43,98.42,97.018,21
200210,100.92,97.64,96.341,22
200211,100.51,96.21,96.173,23
200212,99.69,95.73,96.402,24
200301,98.94,96.26,96.946,25
200302,98.6,97.53,97.695,26
200303,98.78,98.72,98.578,27
200304,99.47,99.05,99.477,28
200305,100.28,98.75,100.41,29
200306,100.86,98.51,101.283,30
200307,101.29,98.39,101.964,31
200308,101.45,98.02,102.264,32
200309,101.18,98.06,102.091,33
200310,100.72,99.05,101.545,34
200311,100.39,100.25,100.822,35
200312,100.26,100.72,100.129,36
200401,99.89,99.87,99.707,37
200402,99.11,98.29,99.706,38
200403,98.27,97.36,100.074,39
200404,97.71,97.68,100.643,40
200405,97.74,99.07,101.255,41
200406,98.07,100.21,101.781,42
200407,98.43,100.35,102.153,43
200408,98.78,99.02,102.261,44
200409,99.27,97.91,102.073,45
200410,99.52,98.25,101.592,46
200411,99.59,100.73,100.842,47
200412,99.84,103.81,100.027,48
200501,100.36,105.34,99.244,49
200502,101.08,104.29,98.653,50
200503,101.6,101.7,98.354,51
200504,101.57,99.37,98.464,52
200505,101.01,98.06,98.894,53
200506,100.35,97.54,99.532,54
200507,99.85,97.75,100.25,55
200508,99.45,98.49,100.894,56
200509,99.1,99.78,101.37,57
200510,98.85,100.35,101.575,58
200511,98.61,99.5,101.514,59
200512,98.17,97.85,101.255,60
200601,97.82,96.83,100.88,61
200602,97.57,97.39,100.477,62
200603,97.26,98.83,100.213,63
200604,97.05,99.49,100.177,64
200605,97.04,99,100.449,65
200606,97.2,98.49,101.039,66
200607,97.49,98.58,101.862,67
200608,97.94,99.58,102.807,68
200609,98.43,99.94,103.825,69
200610,98.85,99.6,104.739,70
200611,99.08,98.55,105.428,71
200612,99.13,97.02,105.716,72
200701,99.17,96.2,105.488,73
200702,99.37,96.34,104.767,74
200703,99.71,97.38,103.63,75
200704,99.9,98.92,102.248,76
200705,99.82,99.65,100.755,77
200706,99.68,99.55,99.365,78
200707,99.64,98.68,98.196,79
200708,99.66,98,97.318,80
200709,99.32,97.97,96.769,81
200710,98.72,98.24,96.502,82
200711,98.21,98.82,96.399,83
200712,97.84,99.14,96.275,84
200801,97.5,99.09,95.926,85
200802,97.2,98.63,95.234,86
200803,97.09,97.86,94.091,87
200804,97.02,97.31,92.525,88
200805,96.49,97.18,90.719,89
200806,95.21,96.98,88.775,90
200807,93.23,96.94,86.805,91
200808,90.84,96.55,85.158,92
200809,88.95,95.57,84.097,93
200810,88.28,93.98,83.83,94
200811,88.88,92.94,84.48,95
200812,90.86,93.3,85.996,96
200901,93.93,95.07,88.284,97
200902,97.34,97.45,91.125,98
200903,100.6,99.27,94.215,99
200904,103.35,99.93,97.087,100
200905,105.98,100.33,99.429,101
200906,108.02,100.72,101.083,102
200907,109.16,101,102.059,103
200908,109.34,100.42,102.447,104
200909,108.29,99.59,102.302,105
200910,106.22,99.22,101.734,106
200911,104.04,99.29,100.86,107
200912,102.3,99.69,99.751,108
201001,100.88,99.84,98.675,109
201002,99.58,99.53,97.807,110
201003,98.38,98.87,97.282,111
201004,97.3,98.24,97.151,112
201005,96.38,98.05,97.334,113
201006,95.81,97.92,97.68,114
201007,95.64,97.83,98.186,115
201008,95.9,97.91,98.862,116
201009,96.93,97.63,99.572,117
201010,98.44,97.79,100.241,118
201011,99.49,98.45,100.777,119
201012,99.68,99.13,101.15,120
201101,99.5,99.18,101.176,121
201102,99.47,98.84,100.696,122
201103,99.41,98.69,99.685,123
201104,99.37,98.8,98.259,124
201105,99.32,98.9,96.669,125
201106,99.04,98.85,95.109,126
201107,98.4,97.89,93.714,127
201108,97.47,96.92,92.488,128
201109,96.52,96.67,91.463,129
201110,95.88,96.6,90.644,130
201111,95.78,96.41,90.003,131
201112,96.12,96.16,89.605,132
201201,96.25,96.23,89.552,133
201202,95.76,96.58,89.85,134
201203,94.95,96.81,90.473,135
201204,94.03,96.72,91.35,136
201205,93.23,96.03,92.36,137
201206,93.22,95.06,93.409,138
201207,94.42,94.81,94.444,139
201208,96.4,95.62,95.334,140
201209,98.12,97.51,96.028,141
201210,98.96,99.4,96.527,142
201211,98.78,100.01,96.821,143
201212,97.57,99.02,96.949,144
201301,96.13,96.88,96.909,145
201302,95.14,94.77,96.771,146
201303,95.13,93.83,96.599,147
201304,96.3,94.16,96.438,148
201305,98.32,95.43,96.292,149
201306,100.23,97.85,96.15,150
201307,101.22,100.79,95.899,151
201308,101.1,102.63,95.624,152
201309,100.32,102.12,95.175,153
201310,99.28,99.75,94.579,154
201311,98.45,96.44,94.144,155
201312,97.8,93.13,93.397,156
