"tm2","DIx_equip","DIt_equip","DIz_equip"
2002-12-01,0.894357914177509,0.812778494326157,0.0179561850902374
2003-12-01,1,1,0.335770350927891
2004-12-01,1,1,0.46799397907797
2005-12-01,0.894357914177509,0.812778494326157,0.767851959825387
2006-12-01,0.894357914177509,0.812778494326157,0.172393362089375
2007-12-01,0.734662571827365,0.812778494326157,0.575089906620158
2008-12-01,0.265337428172635,1,0.359197882409909
2009-12-01,0.804895328150689,0.187221505673843,0.664229649072109
2010-12-01,0.566084185844437,0.187221505673843,0.622845932499854
2011-12-01,0.460442100021946,0,0.459468943661338
2012-12-01,0,0,0.368629032083514
2013-12-01,0,0,0
