tm,adv,coor,delay,adv.input,coor.input,delay.input,gc,ym,yy,hlfdl,jczxzlc,rjyyc,rjxzc,kyjclc,hyjclc,kcls,hcls,jcts
2001/12/1,0,0,0,0,0,0,15745.37,96047.55,21143.4,11767.51,216076,444770.1855,535748,533,437,38780,453620,15756
2002/12/1,0,0,0,0,0,0,19218.34,110807.13,21964.46,13287.64,224404,449337.1969,553831,557,445,39438,459017,16026
2003/12/1,0,0,0,0,0,0,23581.58,131522.66,24176.66,15421.26,231079,454795.4493,581177,562,450,40487,510327,16320
2004/12/1,0,0,0,0,0,0,29738.7,156520.55,27462.49,17701.71,246208,462092.6824,599139,612,455,41353,526894,17022
2005/12/1,0,0,0,0,0,0,37117.02,180990.73,29012.35,19857.23,255802,467018.7743,620864,650,458,41974,548368,17473
2006/12/1,0,0,0,0,0,0,46685.43,206367,30302.55,23188.78,262710,469485.2504,645625,671,465,42659,564899,17799
2007/12/1,0,0,0,0,0,0,56460.8,229892.1,32739.55,27012.6,276245,475050.504,664516,758,480,44243,577521,18306
2008/12/1,0,0,0,0,0,0,58177.3,258566.4,34144.53,27857.4,283957,483659.7088,684758,812,483,45076,591793,18437
2009/12/1,0,0,0,0,0,0,69243.72,298399.34,37321.69,29814.22,279992,493317.7659,692700,860,487,49354,601412,18922
2010/12/1,0,0,0,0,0,0,79627.4,338712.2885,42305.43,33253.4,285591,502989.3317,718148,882,489,52275,628887,19431
2011/12/1,0,0,0,0,0,0,88131.12,385103.6,44585.78,38137.3,290806,507676.2662,752330,888,494,54731,651175,20721
2012/12/1,0,0,0,0,0,0,95186.11,364042.25,46492.61,37867,288384,507023.748,779989.2978,880,491,57721,670656,20797
2013/12/1,0,0,0,0,0,0,106762.2,360162.25,47857.6,35348.14,282381,511186.4771,798969,884,494,58820,688042,20835
