tm,locomotive1,freight
1990,13981,146209
1991,14295,147898
1992,14467,152317
1993,14781,156660
1994,15085,157155
1995,15554,159346
1996,16082,161678
1997,16084,161880
1998,15982,153208
1999,15196,156881
2000,15253,165498
2001,15756,178592
2002,16026,186894
2003,16320,199076
2004,17022,216961
2005,17473,230919.5396
2006,17799,244395
2007,18306,261239
2008,18437,273932
2009,18922,276275.6635
2010,19431,308209.4553
2011,20721,328135.9362
2012,20797,322345.5782
2013,20835,321614.2714
2014,20803,306781.0083
