tm,gyjx,dzdq,nfcp,ysyc,wjyp,ldld,jzx,jsks
2008/1/1,49.1171,10.0055,49.5797,209.5903,45.3201,54427,558.8541,2250.0685
2008/2/1,40.2927,5.9637,25.6794,137.9014,40.7896,35400,424.4175,2205.5638
2008/3/1,48.9539,12.0893,39.0233,174.4832,51.4407,70604,664.1167,2431.1525
2008/4/1,49.6521,9.7967,30.5373,164.1579,51.4492,72190,650.4339,2529.9481
2008/5/1,43.7273,5.9819,24.989,159.2257,49.7113,44542,578.888,2670.0719
2008/6/1,38.5654,5.8657,20.0081,165.3736,47.4441,55545,584.4914,2659.3567
2008/7/1,40.9482,6.3998,16.3186,169.6884,52.6697,46304,591.37,2658.0478
2008/8/1,37.5433,6.9693,14.9688,167.9752,51.4897,37280,569.5915,2711.139
2008/9/1,37.93,6.5289,23.5331,159.5932,46.8708,47231,534.0625,2619.2481
2008/10/1,32.5586,8.0782,40.7281,146.1604,43.1169,45108,524.0726,2430.2802
2008/11/1,32.1113,7.3246,46.2232,146.7849,37.4753,32817,486.4395,2241.9223
2008/12/1,34.6564,6.91,46.6725,182.5621,40.9358,8975,502.3752,2389.1469
2009/1/1,28.1695,3.1921,36.8388,151.6355,39.6023,29325,377.692,2986.5916
2009/2/1,30.2047,4.9921,29.7146,145.5501,37.1697,28424,390.0125,2552.6577
2009/3/1,41.6718,8.5047,31.0314,156.8326,43.0722,30996,533.7663,2709.4793
2009/4/1,37.5202,7.6335,28.2311,137.9312,45.5912,24697,549.0893,2832.9612
2009/5/1,35.8457,6.8708,22.1597,143.7699,47.7966,24327,565.7429,3083.7676
2009/6/1,34.0682,6.8776,15.9963,134.9075,45.8797,33638,547.0476,3040.582
2009/7/1,30.9472,7.0007,17.0341,141.9484,45.6774,30268,579.6442,3179.3069
2009/8/1,33.7662,9.4679,17.9355,158.5419,44.9398,9183,613.7719,3345.153
2009/9/1,36.0517,9.7168,26.5093,162.5992,43.8696,11125,631.6263,3137.453
2009/10/1,35.0362,7.761,34.6209,138.7686,46.853,14713,679.4846,3191.8663
2009/11/1,38.6752,8.7754,34.3565,143.5593,49.9635,12349,699.5183,2836.1277
2009/12/1,42.7654,8.6615,35.2638,163.8957,50.7551,28027,774.4159,2783.7271
2010/1/1,34.4074,8.5468,36.2428,173.6647,53.6757,16661,678.2575,3045.2666
2010/2/1,31.3161,3.7334,18.8212,106.0375,42.338,8720,482.7172,3113.6578
2010/3/1,39.042,8.9157,31.775,154.8535,58.6957,5830,712.6658,3536.888
2010/4/1,34.8981,9.4948,21.5717,150.058,52.7824,11328,750.1825,3377.7091
2010/5/1,32.3158,7.3649,23.4355,142.2196,50.4007,17541,743.1536,3331.9104
2010/6/1,29.3415,6.1159,17.1201,129.6673,44.4755,8096,698.3338,2936.061
2010/7/1,32.198,6.1384,15.04,144.5529,41.634,8469,684.3818,3044.7499
2010/8/1,30.0667,6.8091,15.2838,152.5159,49.1343,5375,689.689,3222.3734
2010/9/1,31.7343,6.7979,19.4652,169.0726,47.5824,13110,656.3337,3168.3759
2010/10/1,35.0285,7.735,28.6149,149.147,48.0433,15459,697.7764,3356.0127
2010/11/1,40.0772,7.6844,26.2881,139.4342,48.1919,5510,728.8005,2961.7055
2010/12/1,41.6135,7.6557,24.9883,167.3015,52.8321,403,714.5586,2993.0422
2011/1/1,36.0538,9.2798,25.2106,160.5116,48.6571,188,638.4502,3455.7326
2011/2/1,29.8426,6.5911,15.3074,110.1795,45.8678,99,525.9789,3360.3744
2011/3/1,40.1167,13.7113,32.4714,152.3026,53.7475,165,803.3789,3365.5445
2011/4/1,36.7893,12.006,26.2253,134.2891,51.4644,244,780.7503,3373.0531
2011/5/1,32.445,11.4357,25.28,139.2949,51.3142,311,806.5079,3366.8085
2011/6/1,30.9861,9.8981,18.3647,144.4673,44.97,288,795.0021,3227.6663
2011/7/1,29.6774,8.2313,16.1905,158.2145,47.7921,2321,815.9253,3212.8797
2011/8/1,28.8904,9.6157,11.7498,164.5792,45.6641,513,821.4758,3239.4048
2011/9/1,32.5587,9.5279,16.413,142.8736,46.9476,2338,789.1662,3298.8845
2011/10/1,34.5239,8.0757,25.2788,150.3725,45.7733,6019,812.6982,3288.3816
2011/11/1,36.0838,8.0786,27.1384,148.0517,46.5752,4055,799.3955,2972.659
2011/12/1,36.1476,10.6528,26.2972,182.7353,46.655,2806,795.799,2986.2612
2012/1/1,25.0868,5.0822,18.5297,139.4831,43.1284,3220,578.711,3400.896
2012/2/1,33.7148,8.459,23.2107,154.5309,41.0316,368,671.3005,3038.9363
2012/3/1,38.7697,10.4733,25.7689,165.8354,45.1603,755,841.0606,3358.7437
2012/4/1,31.6687,9.4279,21.1155,152.0114,49.2631,169,814.7752,3421.589
2012/5/1,30.8059,9.2109,17.811,165.4304,47.5355,363,844.4769,3425.3921
2012/6/1,28.6239,8.586,15.3349,158.9546,42.3887,2980,748.5242,3210.3103
2012/7/1,28.9099,8.0751,13.6407,159.6584,40.3965,444,759.4486,3285.546
2012/8/1,30.5757,9.167,15.2728,168.4654,40.0888,114,779.3145,3239.9354
2012/9/1,34.0384,8.4657,20.5063,163.1245,42.083,1154,753.5489,3307.1783
2012/10/1,28.8901,8.6072,29.8722,134.9916,44.0507,178,759.7961,3636.9407
2012/11/1,36.4728,8.6434,26.4259,136.3499,42.9111,115,761.8328,3481.2888
2012/12/1,40.2717,9.8244,28.788,170.4619,44.4006,107,752.2921,3305.0072
2013/1/1,35.4347,9.2734,29.7081,186.9206,42.6981,1,679.9557,3424.5628
2013/2/1,24.4735,3.18,14.5948,110.7108,32.4065,1,518.154,3550.4515
2013/3/1,38.4545,8.7306,27.4578,169.1877,42.2699,1,772.1763,3359.8143
2013/4/1,33.8022,2.4571,17.2437,146.5083,40.0297,1,744.4538,3268.3574
2013/5/1,31.0621,1.8104,18.5392,128.3273,39.5876,60,719.0356,3321.723
2013/6/1,29.3348,1.9042,16.1368,136.5375,38.6307,425,693.197,3020.0284
2013/7/1,29.8186,1.6889,13.0336,136.5737,39.1528,1282,695.6944,3263.3229
2013/8/1,30.8787,1.99,14.2964,145.6811,40.3689,1715,730.5801,3362.1678
2013/9/1,34.6865,1.8112,16.122,121.3351,35.9987,3272,749.449,3452.9122
2013/10/1,35.6035,1.9634,23.0943,114.4666,39.4854,9454,775.6707,3711.788
2013/11/1,37.6801,1.7842,21.1473,121.6252,38.6819,11735,771.3932,3330.5704
2013/12/1,37.0365,1.945,20.0432,154.7292,38.5407,13851,805.9387,3121.6877
2014/1/1,38.8907,1.2917,23.4087,124.744,38.539,11688,636.3205,3148.0738
2014/2/1,27.9491,0.9825,20.7019,104.8756,31.2842,8878,548.3684,2888.2372
2014/3/1,37.1284,1.7444,25.1421,129.4468,38.0771,24041,767.5206,2844.983
2014/4/1,35.4297,2.2002,18.5362,113.0534,34.3962,22819,742.8074,3076.6401
2014/5/1,36.1864,2.0667,17.5154,116.6398,34.3468,10340,790.2177,3097.4606
2014/6/1,33.6344,1.5767,14.2235,108.7716,35.241,8319,755.5866,2851.3181
2014/7/1,31.8146,1.209,12.9168,104.4126,33.6906,14025,778.9021,3051.9477
2014/8/1,31.9796,1.6831,9.9043,112.3397,34.4252,56851,842.3794,3254.936
2014/9/1,32.9489,0.8041,12.9863,103.256,31.791,84063,820.5016,3163.3308
2014/10/1,33.2912,0.6933,17.6027,96.1421,32.5903,714248,786.7366,3303.659
2014/11/1,40.4462,1.1805,22.8143,101.114,35.4509,1504127,801.9658,3128.4605
2014/12/1,41.9041,1.6244,19.7915,118.5827,37.4392,2063688,788.8904,2899.3485
2015/1/1,41.8164,2.6256,29.7313,142.0837,36.2604,1673076,716.8653,2771.6996
2015/2/2,30.5462,1.2379,14.3415,88.5925,25.5353,968963,499.3412,2711.9779
2015/3/3,41.5022,3.6453,28.8138,145.9287,35.5551,1964112,781.079,2577.3475
2015/4/4,38.8504,4.5181,25.8057,136.561,39.8479,1950056,781.7384,2814.2513
2015/5/5,46.8133,4.3856,25.7696,130.9977,38.0254,1799334,828.1116,3055.0283
2015/6/6,42.749,4.1366,19.553,117.3866,35.568,1444399,793.3754,2869.7634
2015/7/7,46.4016,5.6934,19.3444,130.0396,36.8961,1769829,857.5139,2667.3044
